Category,ID,Latitude,Longitude,Date,DAYMET_Tile,DAYMET_003_prcp
endingPoint,02,42.7092,-71.6966,2017-05-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-22,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-05-23,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-05-24,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-26,11935,44.0
endingPoint,02,42.7092,-71.6966,2017-05-27,11935,7.0
endingPoint,02,42.7092,-71.6966,2017-05-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-05-30,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-05-31,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-06-01,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-06-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-03,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-05,11935,12.0
endingPoint,02,42.7092,-71.6966,2017-06-06,11935,21.0
endingPoint,02,42.7092,-71.6966,2017-06-07,11935,24.0
endingPoint,02,42.7092,-71.6966,2017-06-08,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-13,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-15,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-17,11935,8.0
endingPoint,02,42.7092,-71.6966,2017-06-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-19,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-20,11935,10.0
endingPoint,02,42.7092,-71.6966,2017-06-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-23,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-24,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-06-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-26,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-06-27,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-06-28,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-06-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-06-30,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-01,11935,23.0
endingPoint,02,42.7092,-71.6966,2017-07-02,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-07-03,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-06,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-07,11935,0.0
